recipe_id,ingredient_id,quantity,quantity_desc,variant
145473,6971,2.0,teaspoons,worcestershire sauce
145473,11312,1.0,cups,frozen peas
145473,2028,1.0,teaspoons,sweet paprika
145473,11683,1.0,,carrot
145473,1125,1.0,grams,egg yolk
145473,20481,2.0,tablespoons,all-purpose flour
9518,1004,1.0,,cheese
9518,18027,2.0,,bread
154224,1033,1.0,cups,parmesan cheese
154224,7057,3.0,ounces,pepperoni
154224,22899,1.0,pounds,cheese ravioli
154224,1161,1.0,cups,mozzarella cheese
154224,6931,26.0,ounces,spaghetti sauce
145831,11362,8.0,,potatoes
145831,1179,1.0,cups,sour cream
145831,6121,1.0,pounds,mushroom
145831,1009,1.0,cups,cheddar cheese
145831,10123,1.0,pounds,bacon
205712,9206,1.0,cups,orange juice
205712,20027,4.0,teaspoons,cornstarch
205712,2047,1.0,teaspoons,salt
205712,1017,6.0,ounces,cream cheese
205712,9160,2.0,tablespoons,lime juice
205712,9354,1.0,cups,pineapple juice
301835,9236,20.0,ounces,peaches
483632,2047,1.0,teaspoons,salt
483632,43598,1.0,cups,mayonnaise
483632,1038,1.0,cups,parmesan-romano cheese mix
483632,1036,1.0,cups,ricotta cheese
483632,11215,1.0,teaspoons,garlic
483632,2027,1.0,tablespoons,dried oregano
153800,5311,9.0,ounces,chicken broth
153800,18372,1.0,,baking soda
459273,9042,30.0,grams,blackberries
459273,9316,29.0,grams,strawberries
459273,9152,,,lemon juice
459273,9040,58.0,,bananas
170981,11505,1.0,,sweet potato
170981,9206,1.0,cups,orange juice
170981,19400,1.0,,banana
170981,11683,1.0,,carrot
170981,9216,1.0,,orange
338753,1033,2.0,cups,parmesan cheese
338753,28384,8.0,,sourdough bread
338753,1035,4.0,,provolone cheese
338753,1161,4.0,,mozzarella cheese
338753,1040,4.0,,swiss cheese
338753,1009,4.0,,cheddar cheese
323262,16005,28.0,ounces,baked beans
323262,13047,2.0,pounds,ground beef
323262,31012,11.5,ounces,v8 vegetable juice
323262,31001,46.0,ounces,tomato juice
323262,2076,1.25,ounces,chili seasoning mix
432077,1033,1.0,tablespoons,parmesan cheese
432077,2047,,,salt
432077,20409,2.0,cups,noodles
257084,2047,1.0,teaspoons,salt
257084,6164,2.0,cups,salsa
257084,2031,1.0,teaspoons,cayenne pepper
257084,2020,1.0,teaspoons,garlic powder
257084,2030,1.0,tablespoons,black pepper
257084,16042,16.0,ounces,pinto beans
257084,1009,1.0,cups,cheddar cheese
274746,1004,1.0,tablespoons,cheese
274746,4053,1.0,tablespoons,extra virgin olive oil
274746,2047,,,salt
274746,11355,1.0,,red potatoes
274746,11215,1.0,tablespoons,garlic
31984,1053,2.0,cups,heavy whipping cream
31984,9318,12.0,ounces,frozen unsweetened strawberries
309594,2004,1.0,,bay leaf
309594,2049,1.0,teaspoons,thyme
309594,2020,1.0,teaspoons,garlic powder
309594,13047,1.0,pounds,ground beef
309594,6147,8.0,ounces,mushroom soup
309594,20090,1.0,cups,brown rice
309594,4053,1.0,cups,olive
309594,2027,1.0,teaspoons,oregano
201750,9316,5.0,,strawberries
201750,11297,1.0,cups,fresh parsley
201750,2068,1.0,cups,red wine vinegar
201750,2069,1.0,cups,balsamic vinegar
201750,9316,,,fresh strawberries
201750,4053,3.0,cups,olive oil
345089,22973,2.0,pounds,frozen corn
345089,1033,1.0,cups,parmesan cheese
345089,1053,1.0,cups,heavy whipping cream
345089,2047,1.0,teaspoons,salt
345089,1077,1.0,cups,whole milk
345089,2031,1.0,,cayenne pepper
385071,11282,2.0,,green onions
385071,4679,,,pam cooking spray
385071,2030,,,salt & freshly ground black pepper
385071,1040,1.0,cups,swiss cheese
385071,1053,3.0,cups,heavy cream
385071,11353,2.0,grams,russet potatoes
166476,22973,1.0,cups,frozen corn
166476,6164,3.0,cups,salsa
166476,11251,6.0,cups,romaine lettuce
166476,4639,1.0,cups,ranch dressing
166476,16014,15.0,ounces,black beans
166476,1025,1.0,,monterey jack and cheddar cheese blend
166476,19056,1.0,cups,tortilla chips
301951,9302,1.0,cups,fresh raspberries
250024,2025,1.0,teaspoons,nutmeg
250024,2010,1.0,teaspoons,cinnamon
250024,42291,1.0,cups,peanut butter
250024,19335,1.0,cups,granulated sugar
204114,16252,1.0,cups,plain yogurt
204114,9316,2.0,cups,strawberries
204114,9040,2.0,,bananas
223242,16124,3.0,tablespoons,soy sauce
223242,2069,3.0,tablespoons,balsamic vinegar
223242,4053,1.0,cups,olive oil
124597,6971,1.0,tablespoons,worcestershire sauce
124597,2031,1.0,tablespoons,cayenne pepper
124597,11011,1.0,pounds,asparagus
124597,42140,2.0,,italian salad dressing
327059,11282,2.0,,green onions
327059,2044,4.0,tablespoons,fresh basil
327059,43598,1.0,cups,mayonnaise
327059,11956,5.0,tablespoons,sun-dried tomatoes packed in oil
