NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
9152,92.31,22,0.35,0.24,0.21,6.9,0.3,2.52,6.0,0.08,6.0,8.0,103.0,1.0,0.05,0.016,0.012,0.1,38.7,0.024,0.015,0.091,0.131,0.046,20.0,0.0,20.0,20.0,5.1,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,15.0,0.15,0.0,0.0,0.0,0.04,0.006,0.021,0.0,244.0,1 cup,30.5,1 fl oz,lemon juice
9156,81.6,47,1.5,0.3,0.6,16.0,10.6,4.17,134.0,0.8,15.0,12.0,160.0,6.0,0.25,0.092,,0.7,129.0,0.06,0.08,0.4,0.319,0.172,13.0,0.0,13.0,13.0,8.5,0.0,50.0,3.0,0.0,1.0,7.0,45.0,0.0,18.0,0.25,0.0,0.0,0.0,0.039,0.011,0.089,0.0,6.0,1 tbsp,2.0,1 tsp,lemon peel
9159,88.26,30,0.7,0.2,0.3,10.54,2.8,1.69,33.0,0.6,6.0,18.0,102.0,2.0,0.11,0.065,0.008,0.4,29.1,0.03,0.02,0.2,0.217,0.043,8.0,0.0,8.0,8.0,5.1,0.0,50.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.22,0.0,0.0,0.6,0.022,0.019,0.055,0.0,67.0,"1 fruit,  (2"" dia)",67.0,1 NLEA serving,limes
9160,90.79,25,0.42,0.07,0.31,8.42,0.4,1.69,14.0,0.09,8.0,14.0,117.0,2.0,0.08,0.027,0.018,0.1,30.0,0.025,0.015,0.142,0.123,0.038,10.0,0.0,10.0,10.0,5.1,0.0,50.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.22,0.0,0.0,0.6,0.008,0.008,0.023,0.0,242.0,1 cup,30.8,1 fl oz,lime juice
9176,83.46,60,0.82,0.38,0.36,14.98,1.6,13.66,11.0,0.16,10.0,14.0,168.0,1.0,0.09,0.111,0.063,0.6,36.4,0.028,0.038,0.669,0.197,0.119,43.0,0.0,43.0,43.0,7.6,0.0,1082.0,54.0,0.0,9.0,640.0,10.0,3.0,23.0,0.9,0.0,0.0,4.2,0.092,0.14,0.071,0.0,165.0,"1 cup, pieces",336.0,"1 fruit, without refuse",mangos
9181,90.15,34,0.84,0.19,0.65,8.16,0.9,7.86,9.0,0.21,12.0,15.0,267.0,16.0,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0.105,0.072,21.0,0.0,21.0,21.0,7.6,0.0,3382.0,169.0,0.0,16.0,2020.0,1.0,0.0,26.0,0.05,0.0,0.0,2.5,0.051,0.003,0.081,0.0,177.0,"1 cup, balls",160.0,"1 cup, cubes",melons cantaloupe
9184,89.82,36,0.54,0.14,0.41,9.09,0.8,8.12,6.0,0.17,10.0,11.0,228.0,18.0,0.09,0.024,0.027,0.7,18.0,0.038,0.012,0.418,0.155,0.088,19.0,0.0,19.0,19.0,7.6,0.0,50.0,3.0,0.0,0.0,30.0,0.0,0.0,27.0,0.02,0.0,0.0,2.9,0.038,0.003,0.059,0.0,170.0,"1 cup, diced (approx 20 pieces per cup)",177.0,"1 cup, balls",melons honeydew
9193,79.99,115,0.84,10.68,2.23,6.26,3.2,0.0,88.0,3.3,4.0,3.0,8.0,735.0,0.22,0.251,0.02,0.9,0.9,0.003,0.0,0.037,0.015,0.009,0.0,0.0,0.0,0.0,10.3,0.0,403.0,20.0,0.0,0.0,237.0,9.0,0.0,510.0,1.65,0.0,0.0,1.4,1.415,7.888,0.911,0.0,8.4,1 tbsp,4.4,1 large,olives ripe cnd
9202,85.97,49,0.91,0.15,0.43,12.54,2.2,8.5,43.0,0.13,11.0,23.0,166.0,1.0,0.08,0.039,0.029,0.0,59.1,0.068,0.051,0.425,0.261,0.079,34.0,0.0,34.0,34.0,8.4,0.0,247.0,12.0,0.0,7.0,87.0,116.0,0.0,129.0,0.15,0.0,0.0,0.0,0.017,0.03,0.031,0.0,165.0,"1 cup, sections without membranes",140.0,"1 fruit,  (2-7/8"" dia)",oranges navels
9206,88.3,45,0.7,0.2,0.4,10.4,0.2,8.4,11.0,0.2,11.0,17.0,200.0,1.0,0.05,0.044,0.014,0.1,50.0,0.09,0.03,0.4,0.19,0.04,30.0,0.0,30.0,30.0,6.2,0.0,200.0,10.0,0.0,6.0,33.0,169.0,0.0,115.0,0.04,0.0,0.0,0.1,0.024,0.036,0.04,0.0,248.0,1 cup,31.0,1 fl oz,orange juice
